
2024/06/04 (21:00:00) | ===> btop++ v.1.3.2
2024/06/04 (21:00:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (21:01:10) | ===> btop++ v.1.3.2
2024/06/04 (21:01:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (15:09:54) | ===> btop++ v.1.3.2
2024/06/09 (15:09:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/07 (17:10:20) | ===> btop++ v.1.3.2
2024/07/07 (17:10:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/26 (13:41:37) | ===> btop++ v.1.3.2
2024/08/26 (13:41:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/26 (23:05:58) | ===> btop++ v.1.3.2
2024/09/26 (23:05:58) | WARNING: Failed to set locale UTF-8 continuing anyway.
